,sim,i,s,area_pds,times_pds
0,0.0,2582,3025,1.5455968688845398,0.3923888609660935
1,1.0,2582,3025,1.5270588235294118,0.3947733100339974
2,2.0,2582,3025,1.5057199211045365,0.378683989010824
3,3.0,2582,3025,1.4988134475939354,0.37615616102448257
4,4.0,2582,3025,1.494871794871795,0.3735217220419145
5,5.0,2582,3025,1.5394218134034163,0.40657894499054237
6,6.0,2582,3025,1.517391304347826,0.3748610359725717
7,7.0,2582,3025,1.4584676093390332,0.392770915026631
8,8.0,2582,3025,1.5092442426208237,0.3795331850160437
9,9.0,2582,3025,1.5317926708484648,0.39557337000042025
10,10.0,2582,3025,1.5335740072202166,0.38875185204051377
11,11.0,2582,3025,1.5171428571428571,0.38703754102061794
12,12.0,2582,3025,1.4640467684313088,0.3700088660225447
13,13.0,2582,3025,1.5282608695652171,0.39170266098881257
14,14.0,2582,3025,1.4895609756097559,0.38073778898433375
15,15.0,2582,3025,1.484406668846028,0.3832815279984061
16,16.0,2582,3025,1.4885106382978721,0.3730588069793157
17,17.0,2582,3025,1.5309941520467834,0.3886428889891249
18,18.0,2582,3025,1.5381171823568136,0.38551119100702635
19,19.0,2582,3025,1.5019646365422397,0.38175081994086213
20,20.0,2582,3025,1.5225742574257426,0.38070077604425023
21,21.0,2582,3025,1.5096085409252669,0.3871503470600146
22,22.0,2582,3025,1.4974426229508195,0.3713902230574604
23,23.0,2582,3025,1.5194704552793026,0.38902854994921654
24,24.0,2582,3025,1.5166504381694255,0.38246830102434615
25,25.0,2582,3025,1.4896210873146623,0.37208998795904336
26,26.0,2582,3025,1.491015625,0.37971555104923027
27,27.0,2582,3025,1.492061417837308,0.37653056405724783
28,28.0,2582,3025,1.508820614469772,0.37809285299408657
29,29.0,2582,3025,1.5184313725490195,0.38243950598553056
30,30.0,2582,3025,1.4858638743455497,0.3766291350366373
31,31.0,2582,3025,1.5422164445888853,0.396960081969155
32,32.0,2582,3025,1.535632931988285,0.38327694196959783
33,33.0,2582,3025,1.560825417622011,0.39407771405058156
34,34.0,2582,3025,1.528444003964321,0.3951667389810609
35,35.0,2582,3025,1.4963737340738321,0.37977506109382375
36,36.0,2582,3025,1.4790516401429035,0.3836896139255259
37,37.0,2582,3025,1.4714332141696456,0.37994060606797575
38,38.0,2582,3025,1.4786767114313788,0.3765492529637413
39,39.0,2582,3025,1.5082658022690438,0.3964785300431686
40,40.0,2582,3025,1.477873754152824,0.3744034190003731
41,41.0,2582,3025,1.4887378640776698,0.38692359198648774
42,42.0,2582,3025,1.4880866425992778,0.38470320698979776
43,43.0,2582,3025,1.4625617385577871,0.3694005020061013
44,44.0,2582,3025,1.4757763975155278,0.3816572329706105
45,45.0,2582,3025,1.4995131450827652,0.3812113510030031
46,46.0,2582,3025,1.4899737876802097,0.37014377999366843
47,47.0,2582,3025,1.5041257367387033,0.38088493703253334
48,48.0,2582,3025,1.4867776689520078,0.36902501297845447
49,49.0,2582,3025,1.5420157068062825,0.38141191800787055
50,50.0,2582,3025,1.5051114023591086,0.37838428003487934
51,51.0,2582,3025,1.5137614678899083,0.38545834592878236
52,52.0,2582,3025,1.5165323880116015,0.39503957893793995
53,53.0,2582,3025,1.5011936339522547,0.37138224899899797
54,54.0,2582,3025,1.536188296829029,0.3802925210165995
55,55.0,2582,3025,1.5067317073170732,0.3871813489822671
56,56.0,2582,3025,1.4934463645255949,0.37786006793430715
57,57.0,2582,3025,1.4960861056751467,0.3748392689740285
58,58.0,2582,3025,1.5127659574468084,0.39426385904152994
59,59.0,2582,3025,1.5132947976878612,0.3831722309532779
60,60.0,2582,3025,1.5151079136690646,0.38448337598129
61,61.0,2582,3025,1.5273977086743042,0.3965877179780364
62,62.0,2582,3025,1.5443564356435642,0.3798774609804241
63,63.0,2582,3025,1.495941933355328,0.3770578820567607
64,64.0,2582,3025,1.465230166503428,0.36555543515896716
65,65.0,2582,3025,1.5023180940115903,0.3811951740353834
66,66.0,2582,3025,1.533681462140992,0.3937186179937271
67,67.0,2582,3025,1.5163636363636364,0.3719142010122596
68,68.0,2582,3025,1.4798690671031096,0.3797292170802393
69,69.0,2582,3025,1.5018743834265045,0.36969555401810794
70,70.0,2582,3025,1.5257481091746135,0.37683075901077245
71,71.0,2582,3025,1.4858181818181817,0.375646117998258
72,72.0,2582,3025,1.493525179856115,0.381221851983355
73,73.0,2582,3025,1.5466357308584686,0.377902066002207
74,74.0,2582,3025,1.5292418772563177,0.38954375000867003
75,75.0,2582,3025,1.5072886297376091,0.3811988639881747
76,76.0,2582,3025,1.520556107249255,0.37785599599737907
77,77.0,2582,3025,1.4798302872062663,0.3690743729875976
78,78.0,2582,3025,1.4994132985658408,0.3783488130357
79,79.0,2582,3025,1.5207472959685349,0.38491221892036265
80,80.0,2582,3025,1.473870333988212,0.3721972860239475
81,81.0,2582,3025,1.5169180327868852,0.37849365799593215
82,82.0,2582,3025,1.5100033014196104,0.3813536599755025
83,83.0,2582,3025,1.4819843342036554,0.3771341089759517
84,84.0,2582,3025,1.5503937007874014,0.38893686397204874
85,85.0,2582,3025,1.5209256844850063,0.37750271002551017
86,86.0,2582,3025,1.5178912685337724,0.37357199999314616
87,87.0,2582,3025,1.5348837209302324,0.40193389199157536
88,88.0,2582,3025,1.5085714285714285,0.38723532597759913
89,89.0,2582,3025,1.4832901554404143,0.38039019003190333
90,90.0,2582,3025,1.541669416034312,0.374955990959279
91,91.0,2582,3025,1.5077024358130349,0.3711215769071714
92,92.0,2582,3025,1.51345962113659,0.38009726099880936
93,93.0,2582,3025,1.5118172790466733,0.37261046394451114
94,94.0,2582,3025,1.5107389162561575,0.3754115429946978
95,95.0,2582,3025,1.5257595772787318,0.3829643780045444
96,96.0,2582,3025,1.4647463175122748,0.36800862094241893
97,97.0,2582,3025,1.4883629191321497,0.36912979101362
98,98.0,2582,3025,1.5085092348284959,0.37991182591576944
99,99.0,2582,3025,1.5038784744667097,0.37678672496440413
